OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3835156,04092010548,William Peace University Cafeteria,15 E Peace St ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 04:00:00+00,Restaurant,202,-78.63745155,35.78928458,M,
3835157,04092010065,Biscuitville,2426 Wake Forest Rd,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 04:00:00+00,Restaurant,211,-78.62569015,35.81542941,M,
3835158,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 04:00:00+00,Restaurant,217,-78.50484966,35.98936312,M,
3835159,04092010189,North Raleigh Courtyard By Marriott,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991/04/29 04:00:00+00,Restaurant,222,-78.62297698,35.82408017,M,
3835160,04092010658,Shortys,214 S White ST ,,WAKE FOREST,NC,27587,(919) 556-8026,1991/04/29 04:00:00+00,Restaurant,247,-78.51012825,35.9776018,M,
3835161,04092020121,Han-Dee Hugo's #47,4120 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 881-9246,1991/04/29 04:00:00+00,Food Stand,276,-78.67250612,35.83777708,M,
3835162,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 04:00:00+00,Food Stand,288,-78.62502323,35.80726583,M,
3835163,04092010661,Side Street Restaurant,225 N Bloodworth St ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 04:00:00+00,Restaurant,292,-78.63331248,35.78351542,M,
3835164,04092010795,Watkins Grill,1625 Wake Forest Rd,,RALEIGH,NC,27604-1332,(919) 834-0467,1991/05/01 04:00:00+00,Restaurant,305,-78.62518839,35.80177809,M,
3835165,04092090004,Wendell Senior Nutrition Site,323 LAKE DR ,,WENDELL,NC,27591-9492,(919) 365-4684,1991/05/01 04:00:00+00,Elderly Nutrition Sites (catered),308,-78.36549422,35.77892574,M,
3835166,04092012113,China Chef,930 US 64 HWY W ,,APEX,NC,27523,(919) 468-8982,1997/08/08 04:00:00+00,Restaurant,313,-78.820808,35.74557219,M,
3835167,04092110109,Olive Chapel Elementary Cafeteria,1751 OLIVE CHAPEL RD ,,APEX,NC,27502-4862,(919) 387-4449,1997/08/14 04:00:00+00,Public School Lunchrooms,316,-78.89411789,35.73463652,M,
3835168,04092012198,Windsor Point Restaurant,1221 BROAD ST,,FUQUAY VARINA,NC,27526-3602,(919) 552-4580,1998/02/27 05:00:00+00,Restaurant,330,-78.8037686,35.60086921,M,
3835169,04092012200,N.Y.Pizza,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 05:00:00+00,Restaurant,332,-78.76155635,35.7455991,M,
3835170,04092020037,Circle K #8524,3948 NEW BERN AVE ,,RALEIGH,NC,27610-1333,(919) 231-8060,1991/05/01 04:00:00+00,Food Stand,351,-78.56881441,35.79852716,M,
3835171,04092110017,Brassfield Road Elem. Cafeteria,2001 BRASSFIELD RD ,,RALEIGH,NC,27614-9453,(919) 870-4080 ext. 24076,1991/05/01 04:00:00+00,Public School Lunchrooms,385,-78.63034222,35.93350013,M,
3835172,04092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,NC,27615-2930,(919) 870-4120 ext. 21182,1991/09/17 04:00:00+00,Public School Lunchrooms,438,-78.65713488,35.89158773,M,
3835173,04092110085,Lynn Road Elem. Cafeteria,1601 LYNN RD ,,RALEIGH,NC,27612-6820,(919) 870-4074 ext. 20860,1991/09/17 04:00:00+00,Public School Lunchrooms,439,-78.66786888,35.87032856,M,
3835174,04092110020,Joyner Elementary Cafeteria,2300 LOWDEN ST ,,RALEIGH,NC,27608-0707,(919) 856-7650 ext. 21606,1991/09/17 04:00:00+00,Public School Lunchrooms,452,-78.63298548,35.81521458,M,
3835175,04092010989,Los Tres Magueyes,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 05:00:00+00,Restaurant,468,-78.78312285,35.77217517,M,
3835176,04092010870,Taylor's Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 05:00:00+00,Restaurant,472,-78.65046954,35.91578847,M,
3835177,04092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 04:00:00+00,Restaurant,534,-78.64378688,35.77679384,M,
3835178,04092011099,Barrys Cafe,2851 Jones Franklin RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992/05/18 04:00:00+00,Restaurant,549,-78.7377362,35.74360868,M,
3835179,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 05:00:00+00,Restaurant,553,-78.582482,35.85985466,M,
3835180,04092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 05:00:00+00,Restaurant,562,-78.69210811,35.84689265,M,
3835181,04092011048,NY Pizza,1831 N HARRISON AVE ,,CARY,NC,27513-2408,(919) 677-8484,1992/05/01 04:00:00+00,Restaurant,541,-78.76807773,35.82998314,M,
3835182,04092011186,Kashin Restaurant,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 05:00:00+00,Restaurant,571,-78.73871469,35.76064643,M,
3835183,04092011192,Subway #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 05:00:00+00,Restaurant,574,-78.60613274,35.68500311,M,
3835184,04092012307,Starbucks,3101 EDWARDS MILL RD ,,RALEIGH,NC,27612-5303,(919) 789-4922,1998/08/07 04:00:00+00,Restaurant,601,-78.70695545,35.82544758,M,
3835185,04092013462,Paolo's,101 - 500 Keybridge St,,MORRISVILLE,NC,27560,(919) 678-9030,2001/11/26 05:00:00+00,Restaurant,617,-78.8227355,35.82037975,M,
3835186,04092110111,Carver Elementary Lunchroom,291 LILES DEAN RD ,,WENDELL,NC,27591-9034,(919) 365-2680 ext. 22963,1998/07/20 04:00:00+00,Public School Lunchrooms,645,-78.38664164,35.79067957,M,
3835187,04092020145,Caspian International Food Mart,2909 Brentwood Rd ,,RALEIGH,NC,27604,(919) 954-0029,1991/05/08 04:00:00+00,Food Stand,687,-78.59681449,35.81969625,M,
3835188,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 04:00:00+00,Restaurant,711,-78.65461063,35.89932731,M,
3835189,04092020845,Papa John's,6470 TRYON RD ,,CARY,NC,27511-7050,(919) 851-5656,1998/06/29 04:00:00+00,Food Stand,723,-78.76135102,35.74433027,M,
3835190,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 04:00:00+00,Restaurant,731,-78.67900996,35.83931725,M,
3835191,04092010549,The Peddler Steak House,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991/05/13 04:00:00+00,Restaurant,742,-78.70153994,35.85400324,M,
3835192,04092010617,Rex Hospital Cafeteria,4420 Lake Boone TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 04:00:00+00,Restaurant,752,-78.70241812,35.81817357,M,
3835193,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 04:00:00+00,Restaurant,766,-78.70472779,35.86043849,M,
3835194,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 04:00:00+00,Restaurant,778,-78.68572854,35.91006573,M,
3835195,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3348,(919) 846-6666,1999/03/26 04:00:00+00,Restaurant,785,-78.62599455,35.89329706,M,
3835196,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 04:00:00+00,Restaurant,786,-78.76802044,35.72297344,M,
3835197,04092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999/05/17 04:00:00+00,Restaurant,814,-78.54097708,35.98087662,M,
3835198,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 05:00:00+00,Food Stand,823,-78.68200654,35.85879308,M,
3835199,04092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001/02/23 05:00:00+00,Food Stand,832,-78.62236713,35.87165248,M,
3835200,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 05:00:00+00,Meat Market,834,-78.72548111,35.89676189,M,
3835201,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 05:00:00+00,Restaurant,838,-78.78197903,35.5913653,M,
3835202,04092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 04:00:00+00,Restaurant,422,-78.62162989,35.86964481,M,
3835203,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,846,-78.72593594,35.90878681,M,
3835204,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1161,1991/08/23 04:00:00+00,Restaurant,877,-78.32837065,35.83184523,M,
3835205,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8406 PRIDE WAY,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 04:00:00+00,Public School Lunchrooms,883,-78.7177671,35.88906857,M,
3835206,04092110064,Combs Elementary Cafeteria,1600 LORIMER RD ,,RALEIGH,NC,27606-2626,(919) 233-4300 ext. 21008,1991/09/16 04:00:00+00,Public School Lunchrooms,894,-78.70364737,35.7769291,M,
3835207,04092110065,Athens Drive Sr. High Cafeteria,1420 ATHENS DR ,,RALEIGH,NC,27606-2427,(919) 233-4050 ext. 24891,1991/09/16 04:00:00+00,Public School Lunchrooms,895,-78.71223228,35.768377,M,
3835208,04092110066,Fuquay Elementary Cafeteria,6600 JOHNSON POND RD ,,FUQUAY VARINA,NC,27526-9036,(919) 557-2578,1991/09/16 04:00:00+00,Public School Lunchrooms,898,-78.7581647,35.60302896,M,
3835209,04092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,CARY,NC,27518,(919) 387-2143,1991/09/16 04:00:00+00,Public School Lunchrooms,901,-78.79741418,35.71747453,M,
3835210,04092110003,Broughton High Cafeteria,723 SAINT MARYS ST ,,RALEIGH,NC,27605-1424,(919) 856-7810 ext. 23266,1991/09/16 04:00:00+00,Public School Lunchrooms,912,-78.65350229,35.790761,M,
3835211,04092110034,Oberlin Middle School Cafeteria,2816 OBERLIN RD ,,RALEIGH,NC,27608-1220,(919) 881-4860 ext. 23337,1991/09/16 04:00:00+00,Public School Lunchrooms,913,-78.65663748,35.81365658,M,
3835212,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 04:00:00+00,Public School Lunchrooms,918,-78.78956702,35.79556676,M,
3835213,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 05:00:00+00,Food Stand,931,-78.68359538,35.79338984,M,
3835214,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 05:00:00+00,Food Stand,934,-78.54185066,35.97418205,M,
3835215,04092013761,Harris Teeter #257 Deli,2080 Kildaire Farm Rd ,,CARY,NC,27511,(919) 233-9483,2003/01/17 05:00:00+00,Restaurant,937,-78.78068643,35.73567118,M,
3835216,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,949,-78.59121831,35.90586963,M,
3835217,04092160004,Litchford Falls Healthcare Kitchen,8200 Litchford Rd,,RALEIGH,NC,27615,(919) 878-7772,2003/04/07 04:00:00+00,Institutional Food Service,1004,-78.6016784,35.89048056,M,
3835218,04092013794,Subway #1880,3225 Avent Ferry Rd ,,RALEIGH,NC,27606,(919) 859-2121,2003/05/23 04:00:00+00,Restaurant,1011,-78.69565546,35.76674009,M,
3835219,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,847,-78.72593594,35.90878681,M,
3835220,04092013798,Chili's Grill and Bar #867,115 Carillon Dr ,,GARNER,NC,27529,(919) 771-1700,2003/04/16 04:00:00+00,Restaurant,1015,-78.58321749,35.69333602,M,
3835221,04092021185,LA TAPATIA BUTCHER SHOP & SNACK BAR,1700 St. Albans Dr,,RALEIGH,NC,27609,(919) 954-4816,2003/04/08 04:00:00+00,Food Stand,1023,-78.61051699,35.83290841,M,
3835222,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 04:00:00+00,Institutional Food Service,1049,-78.70241812,35.81817357,M,
3835223,04092160011,Sunrise At North Hills Kitchen,615 Spring Forest Rd ,,RALEIGH,NC,27609,(919) 981-6100,2003/04/21 04:00:00+00,Institutional Food Service,1032,-78.62504989,35.86558665,M,
3835224,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 04:00:00+00,Institutional Food Service,1058,-78.49470384,35.97149988,M,
3835225,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 04:00:00+00,Restaurant,1065,-78.66105896,35.79148992,M,
3835226,04092021201,Middle Creek Park,151 Middle Creek Park AVE ,,APEX,NC,27502,(919) 427-9891,2003/06/23 04:00:00+00,Food Stand,1073,-78.76496293,35.66721753,M,
3835227,04092021190,Harris Teeter #112 Deli,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/23 04:00:00+00,Food Stand,1086,-78.78057485,35.80470293,M,
3835228,04092021193,Harris Teeter #112 Meat Market/Seafood,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1089,-78.78057485,35.80470293,M,
3835229,04092021196,Harris Teeter #112 Produce,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003/06/24 04:00:00+00,Food Stand,1093,-78.78057485,35.80470293,M,
3835230,04092021198,Food Lion #572 Produce,8320-120 Litchford Rd ,,RALEIGH,NC,27615,(919) 790-8146,2003/06/30 04:00:00+00,Food Stand,1107,-78.59988047,35.89223606,M,
3835231,04092160025,Wellington Nursing Center Kitchen,1000 Tandal Pl,,KNIGHTDALE,NC,27545,(919) 266-7744,2003/06/29 04:00:00+00,Institutional Food Service,1116,-78.50919634,35.79338908,M,
3835232,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 04:00:00+00,Institutional Food Service,1117,-78.58396915,35.78299275,M,
3835233,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 04:00:00+00,Meat Market,1131,-78.65148932,35.73682477,M,
3835234,04092013834,Smithfield Chicken & Bar-B-Que,12504 Capital BLVD ,,WAKE FOREST,NC,27587,(919) 488-8388,2003/07/10 04:00:00+00,Restaurant,1136,-78.53382082,35.98666429,M,
3835235,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 04:00:00+00,Restaurant,1138,-78.77115668,35.82699559,M,
3835236,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1141,-78.824804,35.65380862,M,
3835237,04092021203,Lowes Foods #207 Produce,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1142,-78.824804,35.65380862,M,
3835238,04092021204,Lowes Foods #207 Meats & Seafood,112 Bass Lake Rd ,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,1144,-78.824804,35.65380862,M,
3835239,04092160031,Tower Nursing and Rehabilitation Center Kitchen,3609 Bond St,,RALEIGH,NC,27604,(919) 231-8113,2003/07/10 04:00:00+00,Institutional Food Service,1146,-78.58154882,35.80357742,M,
3835240,04092160043,Universal Health Care Of N.Ral Foodservice,5201 Clarks Fork Dr,,RALEIGH,NC,27616,(919) 872-7033,2003/07/10 04:00:00+00,Institutional Food Service,1147,-78.5554995,35.89053506,M,
3835241,04092012835,Mcdonald's #17721,900 US 64 HWY W ,,APEX,NC,27523,(919) 380-0906,1998/11/16 05:00:00+00,Restaurant,1156,-78.82150684,35.7445101,M,
3835242,04092110090,Pleasant Union Elem.School Cafet.,1900 PLEASANT UNION CHURCH RD ,,RALEIGH,NC,27614-7103,(919) 870-4230 ext. 20424,1992/08/20 04:00:00+00,Public School Lunchrooms,1348,-78.67272921,35.95029497,M,
3835243,04092110091,Swift Creek Elem. Sch. Cafeteria,5601 TRYON RD ,,RALEIGH,NC,27606-4451,(919) 233-4328,1992/08/20 04:00:00+00,Public School Lunchrooms,1350,-78.73415127,35.74422277,M,
3835244,04092110093,Durant Road Elem. Cafeteria,9901 DURANT RD ,YEAR ROUND,RALEIGH,NC,27614-9369,(919) 870-4210,1992/07/02 04:00:00+00,Public School Lunchrooms,1352,-78.5804454,35.89960631,M,
3835245,04092110088,Willow Spring Elem.Cafet.,6800 DWIGHT ROWLAND RD,,WILLOW SPRING,NC,27592-9342,(919) 557-2957,1992/08/06 04:00:00+00,Public School Lunchrooms,1356,-78.72847454,35.59342763,M,
3835246,04092020607,DOMINOS PIZZA #8940,1368 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5551,1994/05/20 04:00:00+00,Food Stand,1364,-78.7753337,35.59075371,M,
3835247,04092011278,Hardees #1638,403 S Main St ,,ROLESVILLE,NC,27571-9664,(919) 554-2720,1993/05/07 04:00:00+00,Restaurant,1421,-78.46490536,35.91816505,M,
3835248,04092300049,Fresh Market Seafood and Meat Market,400 WOODBURN RD,,RALEIGH,NC,27605-1324,(919) 828-7888,1991/08/26 04:00:00+00,Meat Market,1440,-78.65854788,35.78994091,M,
3835249,04092300050,Harris Teeter #38 Meat Market ,5563 WESTERN BLVD ,,RALEIGH,NC,27606-1595,(919) 859-0110,1991/08/26 04:00:00+00,Meat Market,1441,-78.72050862,35.78412834,M,
3835250,04092300052,Harris Teeter #289 Meat Market,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/08/26 04:00:00+00,Meat Market,1443,-78.66059971,35.81550158,M,
3835251,04092011678,McDonald's #14961,4413 Capital BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 04:00:00+00,Restaurant,1482,-78.58053199,35.8441304,M,
3835252,04092011620,Legislative Bldg Snack Bar,16 W Jones St ,,RALEIGH,NC,27601-1030,,1995/01/10 05:00:00+00,Restaurant,1485,-78.63894782,35.78320992,M,
3835253,04092011649,DANNY'S BARBEQUE,311 ASHVILLE AVE ,,CARY,NC,27518,(919) 851-5541,1995/03/01 05:00:00+00,Restaurant,1520,-78.78493552,35.73790444,M,
3835254,04092011623,Jose and Sons Mexican Kitchen & Bar,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 571-1188,1995/01/10 05:00:00+00,Restaurant,1555,-78.70472779,35.86043849,M,
3835255,04092011619,Legislative Bldg Cafeteria,16 W Jones St ,,RALEIGH,NC,27601-1030,(919) 733-6032,1995/01/10 05:00:00+00,Restaurant,1560,-78.63894782,35.78320992,M,
3835256,04092110096,Davis Drive Elem. Sch. Cafeteria,2151 DAVIS DR,,CARY,NC,27519-9276,(919) 387-2135,1994/07/19 04:00:00+00,Public School Lunchrooms,1586,-78.85122642,35.77869302,M,
3835257,04092300004,Larry's Supermarket - Meat Market,2041 MILBURNIE RD ,,RALEIGH,NC,27610-2211,(919) 834-0152,1991/12/05 05:00:00+00,Meat Market,1660,-78.61292832,35.78878125,M,
3835258,04092010873,Koi Asian Grill and Sushi ,126 E Millbrook RD ,,RALEIGH,NC,27609,(919) 848-4663,1991/10/28 04:00:00+00,Restaurant,1682,-78.64059755,35.85499399,M,
3835259,04092110015,Enloe High School Cafeteria,128 CLARENDON CRES ,,RALEIGH,NC,27610-2408,(919) 856-7918 ext. 24684,1991/10/28 04:00:00+00,Public School Lunchrooms,1690,-78.60333824,35.78424366,M,
3835260,04092110079,Fox Road Elementary Cafeteria,7101 Fox Rd,,RALEIGH,NC,27616-6353,(919) 850-8845 ext. 23935,1991/10/28 04:00:00+00,Public School Lunchrooms,1692,-78.55535542,35.87372365,M,
3835261,04092021200,Thomas Brooks Park,111 Brooks Park Ln ,,CARY,NC,27519,(919) 621-8410,2003/06/23 04:00:00+00,Food Stand,1074,-78.89953003,35.79556683,M,
3835262,04092110038,Powell Center For Play & Ingenuity Magnet Elementary,1130 MARLBOROUGH RD ,,RALEIGH,NC,27610-1125,(919) 856-7737 ext. 26340,1991/10/28 04:00:00+00,Public School Lunchrooms,1693,-78.6029279,35.7951715,M,
3835263,04092110059,Lockhart Elementary Cafeteria,1320 N SMITHFIELD RD ,,KNIGHTDALE,NC,27545-7726,(919) 266-8525 ext. 26483,1991/10/28 04:00:00+00,Public School Lunchrooms,1694,-78.48454643,35.80325299,M,
3835264,04092110076,Wendell Elem School Cafeteria,3355 WENDELL BLVD ,,WENDELL,NC,27591-7289,(919) 365-2660 ext. 22751,1991/10/28 04:00:00+00,Public School Lunchrooms,1698,-78.37227697,35.78542374,M,
3835265,04092110077,Zebulon Elem. School Cafeteria,700 PROCTOR ST ,,ZEBULON,NC,27597-8726,(919) 404-3680 ext. 21213,1991/10/28 04:00:00+00,Public School Lunchrooms,1699,-78.31958565,35.83895531,M,
3835266,04092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD ,,ZEBULON,NC,27597-2770,(919) 404-3630 ext. 21113,1991/10/28 04:00:00+00,Public School Lunchrooms,1700,-78.31172007,35.83148632,M,
3835267,04092010975,Cup A Joe,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 04:00:00+00,Restaurant,1719,-78.67755529,35.79005017,M,
3835268,04092010922,Seaboard Cafe,707A Seamart Dr ,,RALEIGH,NC,27604,(919) 821-7553,1991/10/23 04:00:00+00,Restaurant,1735,-78.6406953,35.79007692,M,
3835269,04092110014,Brentwood Elementary Cafeteria,3426 Ingram Dr,,RALEIGH,NC,27604-2536,(919) 850-8720 ext. 26311,1991/09/18 04:00:00+00,Public School Lunchrooms,1747,-78.59691523,35.82925374,M,
3835270,04092011561,Boston Market,9500 STRICKLAND RD,,RALEIGH,NC,27615-1935,(919) 676-7609,1994/09/22 04:00:00+00,Restaurant,1937,-78.65420963,35.90167815,M,
3835271,04092110107,Baileywick Elem Sch. Cafet.,9425 BAILEYWICK RD ,,RALEIGH,NC,27615-1912,(919) 518-0090 ext. 25644,1997/03/07 05:00:00+00,Public School Lunchrooms,1941,-78.66473205,35.90916355,M,
3835272,04092013789,Hong Kong,3490-190 Kildaire Farm RD ,,RALEIGH,NC,27518,(919) 303-8439,2003/03/19 04:00:00+00,Restaurant,996,-78.79445566,35.70344107,M,
3835273,04092110116,Reedy Creek Elem. Cafeteria,940 REEDY CREEK RD ,,CARY,NC,27513-3046,(919) 380-3660 ext. 21684,1999/08/04 04:00:00+00,Public School Lunchrooms,1943,-78.76818761,35.81272933,M,
3835274,04092110115,Wakefield Elementary Cafeteria,2400 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3565,1999/06/30 04:00:00+00,Public School Lunchrooms,1942,-78.56642556,35.9464996,M,
3835275,04092110117,Green Hope High Sch. Cafeteria,2500 Carpenter Upchurch RD ,,CARY,NC,27519,(919) 380-3684,1999/08/12 04:00:00+00,Public School Lunchrooms,1944,-78.86673632,35.80474692,M,
3835276,04092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001/09/05 04:00:00+00,Institutional Food Service,1104,-78.77900843,35.76613693,M,
3835277,04092110118,Wakefield Middle Cafeteria,2300 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3530,1999/08/11 04:00:00+00,Public School Lunchrooms,1945,-78.57023956,35.94594014,M,
3835278,04092110120,Wildwood Forest Elem. Sch. Cafeteria,8401 Wildwood Forest Dr ,,RALEIGH,NC,27616-5700,(919) 713-0600 ext. 24271,1999/08/13 04:00:00+00,Public School Lunchrooms,1947,-78.55112466,35.89352164,M,
