OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2024889,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 05:00:00+00,Restaurant,187,-78.77802091,35.78798563,M
2024890,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 04:00:00+00,Restaurant,28,-78.78606215,35.90557616,M
2024891,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 04:00:00+00,Restaurant,188,-78.47356613,35.79722482,M
2024892,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 04:00:00+00,Restaurant,208,-78.70609774,35.86074545,M
2024893,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 05:00:00+00,Restaurant,209,-78.62166097,35.89510574,M
2024894,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 05:00:00+00,Food Stand,216,-78.78213078,35.7627377,M
2024895,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 05:00:00+00,Restaurant,230,-78.55938498,35.79875761,M
2024896,04092018700,Chick-fil-A #01488,220 SHENSTONE BLVD,,GARNER,NC,27529,,2021/08/28 04:00:00+00,Restaurant,231,-78.58261702,35.69212111,M
2024897,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 05:00:00+00,Restaurant,232,-78.88824644,35.84415135,M
2024898,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 04:00:00+00,Food Stand,241,-78.73871452,35.76064286,M
2024899,04092030551,9.19 Island cuisine,13654 CAPITAL BLVD,,WAKE FOREST,NC,27587,(518) 817-0688,2021/08/19 04:00:00+00,Mobile Food Units,242,-78.51867461,36.00548951,M
2024900,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021/03/25 04:00:00+00,Food Stand,244,-78.68184484,35.84183815,T
2024901,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 04:00:00+00,Restaurant,247,-78.76305622,35.79140272,M
2024902,04092016771,Linus & Pepper's,126 S SALISBURY ST ,,RALEIGH,NC,27601,(919) 649-2154,2014/09/30 04:00:00+00,Restaurant,266,-78.64041384,35.77862242,M
2024903,04092025319,Satori Meals @ TKA,2201 S Wilmington ST ,,RALEIGH,NC,27603,(919) 592-2330,2020/09/01 04:00:00+00,Food Stand,277,-78.63902655,35.752054,M
2024904,04092018655,Dairy Queen #11993,12271 Capital  BLVD ,,WAKE FOREST ,NC,27587,(919) 554-2564,2021/06/17 04:00:00+00,Restaurant,279,-78.53978632,35.98090041,M
2024905,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 05:00:00+00,Food Stand,281,-78.65023656,35.89889154,M
2024906,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 04:00:00+00,Meat Market,282,-78.83920922,35.63987917,M
2024907,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 04:00:00+00,Restaurant,292,-78.78334742,35.90685073,M
2024908,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 04:00:00+00,Restaurant,309,-78.68893912,35.78436913,M
2024909,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 04:00:00+00,Restaurant,311,-78.81676023,35.80454378,M
2024910,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 04:00:00+00,Food Stand,65,-78.63544584,35.77685868,M
2024911,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,104,-78.63887103,35.83819686,M
2024912,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 05:00:00+00,Restaurant,143,-78.62699406,35.77656647,M
2024913,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 04:00:00+00,Restaurant,166,-78.54049905,35.87559319,M
2024914,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 04:00:00+00,Food Stand,312,-78.57603863,35.86599856,M
2024915,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,191,-78.63887103,35.83819686,M
2024916,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,339,-78.83920922,35.63987917,M
2024917,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 04:00:00+00,Restaurant,314,-78.51125194,35.89400635,M
2024918,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 04:00:00+00,Restaurant,340,-78.64681795,35.78777191,M
2024919,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 05:00:00+00,Restaurant,341,-78.67872874,35.78448278,M
2024920,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 04:00:00+00,Restaurant,323,-78.82917015,35.7478436,M
2024921,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 04:00:00+00,Mobile Food Units,350,-78.32392727,35.83867806,M
2024922,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,351,-78.82726689,35.7464159,M
2024923,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 04:00:00+00,Restaurant,356,-78.84948074,35.66266499,M
2024924,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 04:00:00+00,Restaurant,358,-78.62038753,35.82333592,M
2024925,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 04:00:00+00,Mobile Food Units,359,-78.58339304,35.85150753,M
2024926,04092016808,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD ,,CARY,NC,27518,(919) 233-9483,2014/11/10 05:00:00+00,Restaurant,370,-78.78068669,35.73567522,M
2024927,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 04:00:00+00,Restaurant,377,-78.88929435,35.84836238,M
2024928,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 05:00:00+00,Restaurant,383,-78.68223183,35.90105252,M
2024929,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 05:00:00+00,Food Stand,389,-78.59988229,35.89223772,M
2024930,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 04:00:00+00,Restaurant,395,-78.52999701,35.94975468,M
2024931,04092025369,Crepe Time Catering @ TKA,2201 S WILMINGTON ST,,RALEIGH,NC,27603,(919) 377-9447,2021/06/24 04:00:00+00,Food Stand,396,-78.63902655,35.752054,M
2024932,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 05:00:00+00,Restaurant,398,-78.84707532,35.82315923,M
2024933,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 04:00:00+00,Restaurant,400,-78.66755526,35.73521897,M
2024934,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Restaurant,404,-78.82726689,35.7464159,M
2024935,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 04:00:00+00,Restaurant,405,-78.63957991,35.77810063,M
2024936,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 04:00:00+00,Restaurant,406,-78.55981965,35.9407555,M
2024937,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 05:00:00+00,Restaurant,407,-78.84948074,35.66266499,M
2024938,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 05:00:00+00,Restaurant,399,-78.61376,35.75438832,M
2024939,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 04:00:00+00,Private School Lunchrooms,409,-78.67165429,35.70444604,M
2024940,04092018626,Empanadas & More,2107 Grace Park  DR ,,RALEIGH,NC,27560,(919) 535-8080,2021/05/10 04:00:00+00,Restaurant,419,-78.84717028,35.82193112,M
2024941,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 05:00:00+00,Private School Lunchrooms,424,-78.62608851,35.88760817,M
2024942,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 04:00:00+00,Restaurant,425,-78.6456917,35.77945516,M
2024943,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 04:00:00+00,Restaurant,426,-78.58356211,35.69799194,M
2024944,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,(919) 269-9621,2014/06/04 04:00:00+00,Institutional Food Service,431,-78.32569568,35.81964939,M
2024945,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012/09/14 04:00:00+00,Restaurant,436,-78.63943083,35.78220511,M
2024946,04092040390,DeeVine Dogs (WCID #833),7106 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9265,(718) 581-7456,2021/06/01 04:00:00+00,Pushcarts,445,-78.49110797,35.79651289,M
2024947,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 05:00:00+00,Restaurant,448,-78.53310077,35.94802112,M
2024948,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 05:00:00+00,Food Stand,449,-78.89712096,35.80863645,M
2024949,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 05:00:00+00,Meat Market,450,-78.74067496,35.76583498,M
2024950,04092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,STE 126,RALEIGH,NC,27612-2650,(919) 783-7555,2013/04/04 04:00:00+00,Restaurant,459,-78.70313649,35.85876954,M
2024951,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 04:00:00+00,Food Stand,462,-78.63936414,35.77440995,M
2024952,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018/07/26 04:00:00+00,Restaurant,465,-78.84803797,35.79230683,M
2024953,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 04:00:00+00,Restaurant,481,-78.68248786,35.89850336,M
2024954,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 04:00:00+00,Restaurant,484,-78.63994726,35.83691426,M
2024955,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009/09/04 04:00:00+00,Restaurant,506,-78.61557526,35.84978294,M
2024956,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019/12/09 05:00:00+00,Pushcarts,510,-78.76164101,35.70858774,M
2024957,04092018719,Union Special Downtown,401 FAYETTEVILLE ST,Suite 103,RALEIGH,NC,27601,(984) 200-3094 ext. 7004,2021/10/05 04:00:00+00,Restaurant,513,-78.63909101,35.77542096,M
2024958,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 04:00:00+00,Restaurant,521,-78.48704631,35.79788571,M
2024959,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 04:00:00+00,Food Stand,522,-78.38037181,35.79568777,M
2024960,04092030521,Abbey on the Road (WCID #812),1195 W CHATHAM ST,,CARY,NC,27513-5257,(919) 481-4434,2021/02/11 05:00:00+00,Mobile Food Units,530,-78.80690314,35.77079471,M
2024961,04092018427,El Mandado Supermarket & Taqueria,2950 E MILLBROOK RD,,RALEIGH,NC,27604,(919) 878-1800,2020/08/30 04:00:00+00,Restaurant,534,-78.58256656,35.84852909,M
2024962,04092018634,Ish Deli,702 N PERSON ST,,RALEIGH,NC,27604,(919) 810-7451,2021/06/01 04:00:00+00,Restaurant,539,-78.63408794,35.78910376,M
2024963,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 04:00:00+00,Food Stand,544,-78.87770701,35.75964934,M
2024964,04092040381,Wicked Links #4 (WCID #728),1101 BEAVER CREEK COMMONS DR,,APEX,NC,27502-3920,(919) 855-8548,2020/02/25 05:00:00+00,Pushcarts,558,-78.87546661,35.74471718,M
2024965,04092018638,Hibachi Japan,11216 CAPITAL BLVD ,STE 105,WAKE FOREST,NC,27587,(919) 556-8882,2021/06/01 04:00:00+00,Restaurant,561,-78.53734624,35.9524773,M
2024966,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 05:00:00+00,Food Stand,492,-78.67658819,35.8395892,M
2024967,04092018239,Mezeh Grill,2316 HILLSBOROUGH ST,106,RALEIGH,NC,27607-7384,(919) 386-3435,2019/11/22 05:00:00+00,Restaurant,570,-78.66664805,35.78770631,M
2024968,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 04:00:00+00,Mobile Food Units,589,-78.63902655,35.752054,M
2024969,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 04:00:00+00,Restaurant,494,-78.70556784,35.82545067,M
2024970,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012/04/20 04:00:00+00,Restaurant,592,-78.88578455,35.85727617,M
2024971,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 04:00:00+00,Mobile Food Units,598,-78.9125522,35.774781,M
2024972,04092018627,Kazu Hibachi,8111 Creedmioor  RD ,Suite 149,RALEIGH,NC,27613,(919) 977-8999,2021/05/11 04:00:00+00,Restaurant,608,-78.68248786,35.89850336,M
2024973,04092030555,Tacos El Calentano (WCID #850),10125 DIVISION DR,,RALEIGH,NC,56642-7603,(984) 297-3718,2021/11/24 05:00:00+00,Mobile Food Units,611,-78.7114342,35.63398295,M
2024974,04092014551,KFC#J120119,3408 Poole RD,,RALEIGH,NC,27610,(919) 212-2504,2006/04/24 04:00:00+00,Restaurant,614,-78.57981204,35.76819436,M
2024975,04092017064,ALOFT REFUEL AND WXYZ LOUNGE,2100 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 828-9900,2015/10/22 04:00:00+00,Restaurant,616,-78.66354224,35.78687212,M
2024976,04092021403,Harris Teeter #283 Produce ,8101 Fayetteville  RD ,,FUQUAY VARINA ,NC,27603,(919) 772-0241,2006/08/16 04:00:00+00,Food Stand,536,-78.70123204,35.66365888,M
2024977,04092016622,WINGIN'IT BAR AND GRILLE,1625 N MAIN ST ,STE 109,FUQUAY VARINA,NC,27526,,2014/02/28 05:00:00+00,Restaurant,627,-78.76145615,35.59674702,M
2024978,04092021447,Hungry Howie's Pizza,1814-106 Oberlin RD ,,RALEIGH,NC,27608,(919) 789-0001,2007/05/04 04:00:00+00,Food Stand,548,-78.65535151,35.80875926,M
2024979,04092016471,Jaipur Indian Cuisine,1520 BLUE RIDGE RD,,RALEIGH,NC,27607-3906,(919) 832-4100 ext. 7722,2013/08/05 04:00:00+00,Restaurant,628,-78.70563279,35.80134843,M
2024980,04092018513,Another Broken Egg,1211 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 465-1079,2020/12/29 05:00:00+00,Restaurant,605,-78.81477941,35.8080269,M
2024981,04092016497,RALEIGH CRABTREE MARRIOTT FOODSERVICE,4500 MARRIOTT DR ,,RALEIGH,NC,27612-3365,(919) 781-7000,2013/10/03 04:00:00+00,Restaurant,630,-78.67772751,35.84277362,M
2024982,04092018378,Pleasant Grove Church,1528 Davis DR ,,CARY,NC,27519,(919) 363-5198,2020/05/29 04:00:00+00,Restaurant,668,-78.84348956,35.76990031,M
2024983,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 05:00:00+00,Restaurant,671,-78.4899936,35.79638702,M
2024984,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 04:00:00+00,Food Stand,675,-78.82197042,35.74562504,M
2024985,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 04:00:00+00,Restaurant,676,-78.64623771,35.72377782,M
2024986,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 04:00:00+00,Mobile Food Units,680,-78.47039569,35.91648377,M
2024987,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009/09/24 04:00:00+00,Restaurant,681,-78.65307339,35.72039578,M
2024988,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 05:00:00+00,Restaurant,683,-78.7258865,35.62516136,M
2024989,04092017798,SKY ZONE,2101  Westinghouse Blvd.,SUITE 111,RALEIGH,NC,27604,(919) 948-4450,2018/03/02 05:00:00+00,Restaurant,698,-78.59593599,35.80806334,M
2024990,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017/09/29 04:00:00+00,Restaurant,699,-78.54123068,35.94195641,M
2024991,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,NC,27616,(919) 449-0807,2019/06/12 04:00:00+00,Restaurant,713,-78.57603863,35.86599856,M
2024992,04092017330,GALAXY FUN PARK,14460 FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 584-4000,2016/09/19 04:00:00+00,Restaurant,721,-78.54362008,35.94386602,M
2024993,04092015548,Rudinos's Pizza & Grinders Sports Corner,3101-101 EDWARDS MILL RD ,,RALEIGH,NC,27612,(919) 786-4235,2009/12/30 05:00:00+00,Restaurant,718,-78.70695216,35.82399087,M
2024994,04092016824,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,,RALEIGH,NC,27617,(919) 237-3919,2014/12/05 05:00:00+00,Restaurant,723,-78.77695631,35.91424375,M
2024995,04092018496,Chick-fil-A #868,4621 Capital  BLVD ,,RALEIGH,NC,27604,(919) 850-2175,2020/11/13 05:00:00+00,Restaurant,724,-78.58118683,35.84746002,M
2024996,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 05:00:00+00,Restaurant,731,-78.60826495,35.83722719,M
2024997,04092018754,The Garden Grill & Bar,1500 RDU Center DR ,,Morrisville,NC,27560-8278,(919) 848-8088,2021/12/13 05:00:00+00,Restaurant,745,-78.79604442,35.85106603,M
2024998,04092018387,Dunkin #358642,1500 DUNN RD,,RALEIGH,NC,27614,,2020/06/23 04:00:00+00,Restaurant,755,-78.58619433,35.92539994,M
2024999,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 04:00:00+00,Food Stand,734,-78.54967347,35.79198567,M
2025000,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 05:00:00+00,Food Stand,765,-78.78267467,35.59365948,M
2025001,04092015942,RED BOWL ASIAN BISTRO,2020 BOULDERSTONE WAY ,,CARY,NC,27519,(919) 388-9977,2011/05/18 04:00:00+00,Restaurant,779,-78.84859346,35.79156535,M
2025002,04092015546,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD ,STE 105,RALEIGH,NC,27614,(919) 554-0508,2010/01/05 05:00:00+00,Restaurant,786,-78.55981965,35.9407555,M
2025003,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006/12/22 05:00:00+00,Restaurant,778,-78.61277558,35.79430477,M
